Hallo,Hello,Common greeting
Danke,Thank you,Expression of gratitude
Bitte,Please/You're welcome,Polite expression
Guten Morgen,Good morning,Morning greeting
Auf Wiedersehen,Goodbye,Formal farewell
Ja,Yes,Affirmation
Nein,No,Negation
Entschuldigung,Excuse me/Sorry,Apology or getting attention
Ich,I,First person singular pronoun
Du,You,Second person singular pronoun (informal)
Wasser,Water,Beverage
Brot,Bread,Food item
Haus,House,Building
Auto,Car,Vehicle
Freund,Friend,Male friend or general friend
Freundin,Friend,Female friend
Schule,School,Educational institution
Buch,Book,Reading material
Zeit,Time,Temporal concept
Liebe,Love,Emotion or affection